sale_id,cust_id,emp_id,sale_amt,sale_region,sale_timestamp
1001,5042,1,1250.50,South,2023-01-12 14:30:05
1002,5120,3,450.00,East,2023-01-14 09:15:22
1003,5088,5,2100.75,Central,2023-01-15 16:45:10
1004,5021,2,89.99,North,2023-01-18 11:20:00
1005,5501,10,3400.00,West,2023-01-20 13:05:45
1006,5233,7,120.25,South,2023-01-22 10:10:30
1007,5111,4,980.00,West,2023-01-25 15:55:12
1008,5092,9,150.00,East,2023-01-28 08:40:00
1009,5300,6,2750.60,North,2023-02-01 17:20:15
1010,5155,8,620.00,West,2023-02-03 12:00:00
